"year","basin","month","latitude","longitude","wind","press","serial.num"
"1980"," EP","06",8.9,-111,30,0,"1980161N09249"
"1980"," EP","06",8.7,-111.8,30,0,"1980161N09249"
"1980"," EP","06",8.5,-112.8,30,0,"1980161N09249"
"1980"," EP","06",8.3,-113.7,45,0,"1980161N09249"
"1980"," EP","06",8.4,-114.5,45,0,"1980161N09249"
"1980"," EP","06",8.9,-114.7,55,0,"1980161N09249"
"1980"," EP","06",9.5,-114.8,60,0,"1980161N09249"
"1980"," EP","06",9.9,-114.9,70,0,"1980161N09249"
"1980"," EP","06",10.2,-115.2,70,0,"1980161N09249"
"1980"," EP","06",10.8,-116,70,0,"1980161N09249"
"1980"," EP","06",11.4,-116.8,75,0,"1980161N09249"
"1980"," EP","06",12.1,-117.8,85,0,"1980161N09249"
"1980"," EP","06",12.8,-118.7,100,0,"1980161N09249"
"1980"," EP","06",13.4,-119.9,95,0,"1980161N09249"
"1980"," EP","06",14.1,-121,90,0,"1980161N09249"
"1980"," EP","06",14.9,-122.1,85,0,"1980161N09249"
"1980"," EP","06",15.5,-123.2,70,0,"1980161N09249"
"1980"," EP","06",16.2,-124.3,65,0,"1980161N09249"
"1980"," EP","06",16.5,-125.6,65,0,"1980161N09249"
"1980"," EP","06",16.9,-126.8,50,0,"1980161N09249"
"1980"," EP","06",16.9,-128.2,45,0,"1980161N09249"
"1980"," EP","06",17,-129.4,35,0,"1980161N09249"
"1980"," EP","06",17.2,-130.7,30,0,"1980161N09249"
"1980"," EP","06",17.6,-131.7,30,0,"1980161N09249"
"1980"," EP","06",17.9,-132.8,30,0,"1980161N09249"
"1980"," EP","06",18.1,-133.8,25,0,"1980161N09249"
"1980"," EP","06",18,-134.8,25,0,"1980161N09249"
"1980"," EP","06",17.9,-136,25,0,"1980161N09249"
"1980"," EP","06",11.8,-109.9,35,0,"1980169N12250"
"1980"," EP","06",12.3,-110.5,50,0,"1980169N12250"
"1980"," EP","06",12.7,-111.1,50,0,"1980169N12250"
"1980"," EP","06",13,-111.8,50,0,"1980169N12250"
"1980"," EP","06",13.5,-112.5,35,0,"1980169N12250"
"1980"," EP","06",14.2,-113,45,0,"1980169N12250"
"1980"," EP","06",14.7,-113.7,45,0,"1980169N12250"
"1980"," EP","06",15.1,-114.2,45,0,"1980169N12250"
"1980"," EP","06",15.5,-115,35,0,"1980169N12250"
"1980"," EP","06",15.5,-115.4,35,0,"1980169N12250"
"1980"," EP","06",15.5,-115.9,35,0,"1980169N12250"
"1980"," EP","06",15.6,-116.3,30,0,"1980169N12250"
"1980"," EP","06",15.7,-116.7,30,0,"1980169N12250"
"1980"," EP","06",13.5,-101.4,25,0,"1980177N14259"
"1980"," EP","06",13.8,-102.5,25,0,"1980177N14259"
"1980"," EP","06",14.2,-103.6,40,0,"1980177N14259"
"1980"," EP","06",14.6,-104.7,45,0,"1980177N14259"
"1980"," EP","06",14.8,-105.8,55,0,"1980177N14259"
"1980"," EP","06",15,-107,60,0,"1980177N14259"
